	pivot	perfective	aspect
0	abonować	zaabonować	dk
1	analizować	przeanalizować	dk
2	bankrutować	zbankrutować	dk
3	betonować	zabetonować	dk
4	betonować	wybetonować	dk
5	bełtać	zabełtać	dk
6	biegać	pobiegać	dk
7	bluzgać	pobiegać	dk
8	bredzić	pobiegać	dk
9	brodzić	pobiegać	dk
10	broić	pobiegać	dk
11	bronić	pobiegać	dk
12	brudzić	pobrudzić	dk
13	brudzić	ubrudzić	dk
14	brudzić	wybrudzić	dk
15	brudzić	nabrudzić	dk
16	buchać	buchnąć	dk
17	budzić	dobudzić	dk
18	budzić	obudzić	dk
19	budzić	pobudzić	dk
20	budzić	poprzebudzać	dk
21	budzić	przebudzić	dk
22	budzić	rozbudzić	dk
23	budzić	wybudzić	dk
24	budzić	wzbudzić	dk
25	budzić	zbudzić	dk
26	burzyć	zburzyć	dk
27	bywać	zburzyć	dk
28	całować	pocałować	dk
29	całować	ucałować	dk
30	cedzić	przecedzić	dk
31	chcieć	zechcieć	dk
32	chełpić się	zechcieć	dk
33	chować	przechować	dk
34	chować	schować	dk
35	chować	pochować	dk
36	chować	wychować	dk
37	chować	odchować	dk
38	chować	podchować	dk
39	chować	uchować	dk
40	chować	dochować	dk
41	chrzcić	ochrzcić	dk
42	chrzcić	przechrzcić	dk
43	chłeptać	wychłeptać	dk
44	ciec	wychłeptać	dk
45	cofać	wycofywać]], [[wycofywać się	dk
46	cudzołożyć	wycofywać]], [[wycofywać się	dk
47	cytować	zacytować	dk
48	czaić	zacytować	dk
49	czaić się	zacytować	dk
50	czekać	zaczekać	dk
51	czekać	poczekać	dk
52	czekać	odczekać	dk
53	czekać	doczekać	dk
54	czerpać	zaczerpnąć	dk
55	czerpać	wyczerpać	dk
56	czesać	uczesać	dk
57	czesać	poczesać	dk
58	czesać	przeczesać	dk
59	czesać	rozczesać	dk
60	czesać	wyczesać	dk
61	czesać	sczesać	dk
62	czeznąć	sczeznąć	dk
63	czuć	poczuć	dk
64	czuć	uczuć	dk
65	czuć	poczuwać	dk
66	czuć	odczuć	dk
67	czuć	wyczuć	dk
68	czuć	przeczuć	dk
69	czytać	odczytać	dk
70	czytać	przeczytać	dk
71	czytać	rozczytać	dk
72	czytać	wyczytać	dk
73	czytać	zaczytać	dk
74	dbać	zadbać	dk
75	dedykować	zadedykować	dk
76	dementować	zdementować	dk
77	demontować	zdemontować	dk
78	denerwować	zdemontować	dk
79	diagnozować	zdiagnozować	dk
80	dmuchać	dmuchnąć	dk
81	doceniać	docenić	dk
82	dochodzić	dojść	dk
83	doić	wydoić	dk
84	doić	udoić	dk
85	dokonywać	wydoić	dk
86	dokonywać	udoić	dk
87	doprowadzać	doprowadzić	dk
88	dostarczać	dostarczyć	dk
89	dostawać	postawić]], [[dostać	dk
90	dotykać	dotknąć	dk
91	drażnić	podrażnić	dk
92	drażnić	zadrażnić	dk
93	drgać	drgnąć	dk
94	drgać	wzdrygnąć się	dk
95	drylować	wydrylować	dk
96	drzemać	zdrzemnąć się	dk
97	dymać	wydymać	dk
98	dyszeć	wydyszeć	dk
99	działać	zadziałać	dk
100	działać	zdziałać	dk
101	dzierżyć	dzierżeć]], [[zdzierżyć	dk
102	dziwić	zadziwić	dk
103	dziwić	zdziwić	dk
104	dziękować		dk
105	edytować	wyedytować	dk
106	egzaminować	przeegzaminować	dk
107	eksperymentować	przeegzaminować	dk
108	eksportować	przeegzaminować	dk
109	esemesować	odesemesować	dk
110	filmować	odesemesować	dk
111	fruwać	frunąć	dk
112	gadać	dogadać	dk
113	gadać	obgadać	dk
114	gadać	pogadać	dk
115	gadać	przegadać	dk
116	gadać	rozgadać	dk
117	gadać	ugadać	dk
118	gadać	wygadać	dk
119	gadać	zagadać	dk
120	gadać	zgadać	dk
121	gadać	zgadnąć	dk
122	galopować	dogadać	dk
123	galopować	obgadać	dk
124	galopować	pogadać	dk
125	galopować	przegadać	dk
126	galopować	rozgadać	dk
127	galopować	ugadać	dk
128	galopować	wygadać	dk
129	galopować	zagadać	dk
130	galopować	zgadać	dk
131	galopować	zgadnąć	dk
